att1,att2,att3,att4,att5,att6,__target__
0.5,0.0,0.0,0.2553123671908202,0.1190665908247654,0.011200061434551555,0
0.5,0.0,0.0,0.20654483637909046,0.11274618829919822,0.010525222104671907,0
0.5,0.0,0.0,0.24030872442474646,0.12425007119625874,0.008023689507190651,0
0.5,0.0,0.0,0.22744520672697469,0.09023660029972899,0.015838693830048056,0
0.5,0.0,0.0,0.21062777002003524,0.1317415415429401,0.012904581797701428,0
0.5,0.0,0.0,0.23943597838625472,0.1181556488485879,0.036427733838134524,0
0.5,0.0,0.0,0.29547386315342117,0.16724972947823347,0.02970467259885298,0
0.5,0.0,0.0,0.2264434460567057,0.11479538039498631,0.00667768080834528,0
0.5,0.0,0.0,0.30382186873899575,0.16354547556879295,0.02674827714588573,0
0.5,0.0,0.0,0.25135085908566573,0.16338503896649983,0.027592807394125125,0
0.5,0.0,0.0,0.22141946451338707,0.12450665109066696,0.011434974698369085,0
0.5,0.0,0.0,0.2264434460567057,0.04786967521402972,0.012118838338861423,0
0.5,0.0,0.0,0.3154331855989314,0.13638908186574836,0.04593749444982625,0
0.5,0.0,0.0,0.23755388258150684,0.07472030485228932,0.011661831407985965,0
0.5,0.0,0.0,0.2455831461356322,0.11014576336011568,0.01473485389992136,0
0.5,0.0,0.0,0.22091858417825258,0.058450925800003425,0.004804183185118271,0
0.5,0.0,0.0,0.20961842025377933,0.08984304923660384,0.018580202627940603,0
0.5,0.0,0.0,0.27577256997146493,0.1580556095316252,0.012437600545784331,0
0.5,0.0,0.0,0.2143919616295307,0.15473471384345236,0.006829995355848579,0
0.5,0.0,0.0,0.2642219658794245,0.11221738253344882,0.02141762030819594,0
0.5,0.0,0.0,0.21564416246736692,0.1302104114066194,0.0075032120933050655,0
0.5,0.0,0.0,0.22229979964786595,0.07026075641665715,0.004978229809121541,0
0.5,0.0,0.0,0.2497875053123671,0.066287992113919,0.013368532822437199,0
0.5,0.0,0.0,0.22600327848946633,0.07930915333657108,0.009329341181956809,0
0.5,0.0,0.0,0.2777760913120029,0.09111499299296871,0.023522780990144827,0
0.5,0.0,0.0,0.2414394997267925,0.0843235794570768,0.013813713633452053,0
0.5,0.0,0.0,0.26372108554428997,0.09487805175927919,0.013367409273414373,0
0.5,0.0,0.0,0.26560318134903765,0.15529224745939882,0.018971768444791558,0
0.5,0.0,0.0,0.24432335620180914,0.13705194857786865,0.025759537588798474,0
0.5,0.0,0.0,0.26798615748892,0.07488393422278719,0.011385101600537118,0
0.5,0.0,0.0,0.23385040373990645,0.08115240481950066,0.014900017476395251,0
0.5,0.0,0.0,0.21978780887620677,0.11386620008362096,0.01421154192088547,0
0.5,0.0,0.0,0.23001791026652904,0.10824123474405113,0.021837718337790777,0
0.5,0.0,0.0,0.1803169206484124,0.022906508421961055,0.012898318190914868,0
0.5,0.0,0.0,0.18087851375144195,0.14133780194678197,0.016200986387341257,0
0.5,0.0,0.0,0.2544320320563415,0.07615867518315463,0.017283712117183592,0
0.5,0.0,0.0,0.22506223058709252,0.06461922682611325,0.01186301274779164,0
