Rep,Altitude,Rainfall,Frosts,Year,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,__target__
0.0,0.13043478260869565,0.0,1.0,0.0,0.5523636363636364,0.000424622698851499,0.4276729559748428,0.39086294416243655,0.7777777777777778,0.6666666666666666,0.7,0.8,0.7,0
0.0,0.13043478260869565,0.0,1.0,0.0,0.5403636363636364,0.0002986853567187097,0.412675374939526,0.8984771573604061,0.8888888888888888,0.8888888888888888,0.7,0.7,0.6,1
0.0,0.13043478260869565,0.0,1.0,0.0,0.4949090909090909,0.00023143956837233352,0.2602805999032414,0.49238578680203043,0.39999999999999997,0.5555555555555556,0.6,0.7,0.6,2
0.0,0.13043478260869565,0.0,1.0,0.0,0.58,0.00033789226511854036,0.40445089501693277,0.6954314720812182,0.7111111111111111,0.6666666666666666,0.6599999999999999,0.8,0.7,0
0.0,0.13043478260869565,0.0,1.0,0.0,0.7589090909090909,0.0003307637363185711,0.4673439767779391,0.8984771573604061,0.7777777777777778,0.6000000000000001,0.6599999999999999,0.6,0.6,0
0.0,0.13043478260869565,0.0,1.0,0.0,0.5530909090909091,0.0003904057606116469,0.5399129172714079,0.6954314720812182,1.0,0.8888888888888888,1.0,0.8,0.9,1
0.0,0.13043478260869565,0.0,1.0,0.0,0.5527272727272727,0.00031721953159862963,0.41848089017900336,0.7969543147208121,0.7777777777777778,0.4444444444444444,0.6,0.6,0.6,0
0.0,0.13043478260869565,0.0,1.0,0.0,0.5534545454545454,0.00043887975645143744,0.4905660377358491,1.0,1.0,1.0,0.7,0.8,0.4,1
0.0,0.13043478260869565,0.0,1.0,0.0,0.5538181818181818,0.00016728280917261069,0.26463473633284956,0.7969543147208121,0.4444444444444444,0.5555555555555556,0.6599999999999999,0.7,0.7,3
0.0,0.13043478260869565,0.0,1.0,0.0,0.5541818181818182,0.00033670417698521214,0.3875181422351235,0.49238578680203043,0.7777777777777778,0.8888888888888888,0.6599999999999999,0.6,0.6,0
0.047619047619047616,0.13043478260869565,0.0,1.0,0.0,0.5523636363636364,0.00017987654338588963,0.2709240445089502,0.6954314720812182,0.2222222222222222,0.6666666666666666,0.6,0.6,0.6,2
0.047619047619047616,0.13043478260869565,0.0,1.0,0.0,0.5403636363636364,0.0003443079410385126,0.2926947266569908,0.08629441624365482,0.7777777777777778,0.8888888888888888,0.6599999999999999,0.6,0.4,0
