dataset_id,name,MF1_mean,MF2_var,MF3_std,MF4_skew,MF5_kurt,MF6_h0,MF7_h1,MF8_h2,MF9_h3,MF10_h4,MF11_h5,MF12_h6,MF13_h7,MF14_h8,MF15_h9,MF16_z0,MF17_z1,MF18_z2,MF19_z3
6,letter,0.4028771150168106,0.015939386400068485,0.12625128276603167,0.3363724669517031,0.11920084352586668,0.00304,0.0367,0.17384,0.30168,0.27114,0.1452,0.05274,0.0132,0.00216,0.0003,0.68096,0.2752,0.04022,0.00362
11,balance-scale,0.40316025296626,0.029179697335780408,0.17082065839874405,-0.04209285146341643,-0.454479804234615,0.03324,0.08134,0.15482,0.2268,0.20346,0.18424,0.07778,0.03254,0.00544,0.00034,0.66188,0.28944,0.04834,0.00034
12,mfeat-factors,0.5350659996740675,0.019902087317324284,0.14107475790276688,-0.3949074292341873,0.2911842445464683,0.0031,0.0168,0.04066,0.09798,0.21314,0.29798,0.21712,0.0941,0.01742,0.0017,0.69686,0.2512,0.04732,0.00462
14,mfeat-fourier,0.42115937944279147,0.009870256660322712,0.09934916537305541,-0.10493096818017487,0.6551877440530944,0.0028,0.01604,0.08342,0.3032,0.39114,0.16936,0.03078,0.00278,0.00036,0.00012,0.70648,0.24364,0.04338,0.0065
15,breast-w,0.3907602011813862,0.06361690657298705,0.25222392149236567,0.20479748349624047,-1.2127742847591156,0.15496,0.20168,0.06688,0.07466,0.11588,0.13434,0.12448,0.07752,0.03528,0.01432,0.55462,0.4302,0.01518,0.0
16,mfeat-karhunen,0.5913729206422191,0.012170930724043745,0.11032194126303138,-0.5001321722869857,1.0114794057630174,0.00056,0.00276,0.01066,0.0348,0.13158,0.3287,0.34108,0.1302,0.01852,0.00114,0.71396,0.2378,0.03958,0.00866
18,mfeat-morphological,0.3716816995899973,0.04130052454795612,0.20322530489079385,0.346690492657075,-0.5382364352934519,0.09254,0.14694,0.10518,0.26312,0.13544,0.08788,0.09594,0.05276,0.01786,0.00234,0.6293,0.3411,0.02948,0.00012
22,mfeat-zernike,0.4753575134744698,0.015899098764486242,0.12609162844727734,0.3678603268553425,0.11099199836149776,8e-05,0.00742,0.05948,0.22022,0.32148,0.2283,0.1128,0.03926,0.0101,0.00086,0.69016,0.2619,0.04462,0.00332
23,cmc,0.2606845499485982,0.02421992182000624,0.1556275098432351,0.6677425357730019,-0.09721089076811218,0.1457,0.26514,0.23158,0.15958,0.10898,0.06048,0.02334,0.0043,0.00072,0.00018,0.64878,0.31188,0.0359,0.00344
28,optdigits,0.6074423272710837,0.01567581811288401,0.12520310744100566,-0.6153974365142162,0.8268338269471758,0.0003,0.00518,0.01662,0.0385,0.11122,0.26514,0.33564,0.18524,0.0394,0.00276,0.71114,0.23916,0.04094,0.00876
